icao,tail,plane,tail_prefix,Country or region
151ffe,RA-73726,Airbus A321-211,RA,Russia
152011,RA-73745,Airbus A320-214,RA,Russia
1506a9,RA-67241,Bombardier BD-700-1A10 Global 6000,RA,Russia
155c31,RA-89137,Sukhoi SuperJet 100-95B,RA,Russia
151e4e,RA-73294,Boeing 737-8MA,RA,Russia
141e19,RA-07705,AgustaWestland AW139,RA,Russia
151e19,RA-73241,Boeing 737-800WL,RA,Russia
155bba,RA-89018,Sukhoi SuperJet 100-95B,RA,Russia
152046,RA-73798,Airbus A321-231,RA,Russia
151e1b,RA-73243,Boeing 737-800WL,RA,Russia
151fbd,RA-73661,Boeing 737-8Q8,RA,Russia
152050,RA-73808,Airbus A320-214,RA,Russia
151d4a,RA-73034,Boeing 767-3Q8ER,RA,Russia
151e0d,RA-73229,Boeing 737-800WL,RA,Russia
14a5b7,RA-42423,Yakovlev Yak-42D,RA,Russia
150651,RA-67153,Canadair CL-600-2B19 Regional Jet CRJ-200ER,RA,Russia
157710,RA-96016,Ilyushin Il-96-300,RA,Russia
151e58,RA-73304,Boeing 737-800WL,RA,Russia
151da4,RA-73124,Boeing 737-8LJ,RA,Russia
152007,RA-73735,Airbus A320-251N,RA,Russia
155c27,RA-89127,Sukhoi SuperJet 100-95B,RA,Russia
151e5c,RA-73308,Boeing 737-800WL,RA,Russia
142586,RA-09606,Dassault Falcon 8X,RA,Russia
151d66,RA-73062,Boeing 737-524,RA,Russia
1fffff,RA-20092,Kazan Ansat,RA,Russia
142afa,RA-11002,Gulfstream Aerospace GIV-X (G450),RA,Russia
151d89,RA-73097,Boeing 737-8LJ,RA,Russia
15067f,RA-67199,Cessna 172S Skyhawk SP,RA,Russia
151e23,RA-73251,Boeing 737-8AS,RA,Russia
151d8b,RA-73099,Boeing 737-800WL,RA,Russia
151eba,RA-73402,Airbus A320-214,RA,Russia
150692,RA-67218,Canadair CL-600-2B19 Challenger 850,RA,Russia
151dc8,RA-73160,Airbus A321-211,RA,Russia
151dcc,RA-73164,Airbus A321-211,RA,Russia
155bd7,RA-89047,Sukhoi SuperJet 100-95B,RA,Russia
155c1f,RA-89119,Sukhoi SuperJet 100-95B,RA,Russia
151e62,RA-73314,Boeing 737-8KN,RA,Russia
151dbe,RA-73150,Boeing 777-3M0ER,RA,Russia
151fd2,RA-73682,Airbus A319-114,RA,Russia
155be1,RA-89057,Sukhoi SuperJet 100-95B,RA,Russia
151e8f,RA-73359,Boeing 737-8Q8,RA,Russia
151d70,RA-73072,Boeing 757-2Q8,RA,Russia
