icao,tail,plane
8963b6,A6-FET,Boeing 737-8KN
151dcb,RA-73163,Airbus A321-211
1506b2,RA-67250,Bombardier BD-100-1A10 Challenger 300
4bc847,TC-RBG,Airbus A321-251NX
15202a,RA-73770,Airbus A320-214
151dc9,RA-73161,Airbus A321-211
151d8c,RA-73100,Boeing 737-800WL
151dfe,RA-73214,Airbus A320-214
896378,A6-FEG,Boeing 737-8KN
150693,RA-67219,Canadair CL-600-2B19 Challenger 850
142587,RA-09607,Dassault Falcon 7X
896401,A6-AOB,Airbus A320-214
151d88,RA-73096,Boeing 737-8LJ
151e22,RA-73250,Boeing 737-800WL
155c26,RA-89126,Sukhoi SuperJet 100-95B
15087f,RA-67711,Cessna 172S Skyhawk SP
151e5b,RA-73307,Boeing 737-800WL
157711,RA-96017,Ilyushin Il-96-300
4b9e44,TC-GRD,Airbus A321-231
151da5,RA-73125,Boeing 737-8LJ
151e59,RA-73305,Boeing 737-800WL
155bfa,RA-89082,Sukhoi SuperJet 100-95LR
151ee0,RA-73440,Airbus A321-271N
152006,RA-73734,Airbus A320-251N
14232d,RA-09005,Dassault Falcon 7X
151e0e,RA-73230,Boeing 737-800WL
152ad7,RA-76503,Ilyushin Il-76TD-90VD
151dd2,RA-73170,Airbus A320-214
151fbe,RA-73662,Airbus A320-251N
152051,RA-73809,Airbus A320-214
151fc8,RA-73672,Boeing 737-8LP
78147a,B-300U,Airbus A330-343E
4baa4e,TC-JRN,Airbus A321-231
150646,RA-67142,Canadair CL-600-2B19 Regional Jet CRJ-100ER
151e1c,RA-73244,Boeing 737-800WL
141e18,RA-07704,AgustaWestland AW139
151e18,RA-73240,Boeing 737-800WL
8960f2,A6-EDQ,Airbus A380-861
151de4,RA-73188,Boeing 737-8Q8
152047,RA-73799,Airbus A321-231
7335a1,EP-MMA,Airbus A340-311
1506a8,RA-67240,Canadair CL-600-2B19 Regional Jet CRJ-200ER
0100df,SU-GCR,Boeing 737-866
151ffd,RA-73725,Airbus A321-211
152010,RA-73744,Airbus A320-214
151ed6,RA-73430,Airbus A320-271N
1506ac,RA-67244,Canadair CL-600-2B19 Challenger 850
683266,UP-B3720,Boeing 737-8
140aca,RA-02762,Raytheon Hawker 800XP
8963af,A6-FEM,Boeing 737-8KN
151ffe,RA-73726,Airbus A321-211
152011,RA-73745,Airbus A320-214
8965b1,A6-FMU,Boeing 737-8
600009,EK-222,SOCATA TBM 940
1506a9,RA-67241,Bombardier BD-700-1A10 Global 6000
155c31,RA-89137,Sukhoi SuperJet 100-95B
896601,A6-ANE,Airbus A320-214
60084d,4K-AZ77,Airbus A320-214
151e4e,RA-73294,Boeing 737-8MA
4ba904,TC-JHD,Boeing 737-8F2
141e19,RA-07705,AgustaWestland AW139
151e19,RA-73241,Boeing 737-800WL
155bba,RA-89018,Sukhoi SuperJet 100-95B
152046,RA-73798,Airbus A321-231
4baa4d,TC-JRM,Airbus A321-231
151e1b,RA-73243,Boeing 737-800WL
151fbd,RA-73661,Boeing 737-8Q8
507c3f,UK32016,Airbus A320-214
152050,RA-73808,Airbus A320-214
896586,A6-AUB,Airbus A320-214
151d4a,RA-73034,Boeing 767-3Q8ER
78076b,B-2085,Boeing 777-39LER
02a1a7,TS-INH,Airbus A320-214
151e0d,RA-73229,Boeing 737-800WL
14a5b7,RA-42423,Yakovlev Yak-42D
4ba945,TC-JJE,Boeing 777-3F2ER
150651,RA-67153,Canadair CL-600-2B19 Regional Jet CRJ-200ER
157710,RA-96016,Ilyushin Il-96-300
4b9e45,TC-GRE,Airbus A321-253NX
151e58,RA-73304,Boeing 737-800WL
151da4,RA-73124,Boeing 737-8LJ
781590,B-304K,Airbus A330-343
152007,RA-73735,Airbus A320-251N
155c27,RA-89127,Sukhoi SuperJet 100-95B
151e5c,RA-73308,Boeing 737-800WL
142586,RA-09606,Dassault Falcon 8X
151d66,RA-73062,Boeing 737-524
89637b,A6-FEJ,Boeing 737-8KN
1fffff,RA-20092,Kazan Ansat
142afa,RA-11002,Gulfstream Aerospace GIV-X (G450)
151d89,RA-73097,Boeing 737-8LJ
15067f,RA-67199,Cessna 172S Skyhawk SP
151e23,RA-73251,Boeing 737-8AS
151d8b,RA-73099,Boeing 737-800WL
151eba,RA-73402,Airbus A320-214
150692,RA-67218,Canadair CL-600-2B19 Challenger 850
151dc8,RA-73160,Airbus A321-211
151dcc,RA-73164,Airbus A321-211
155bd7,RA-89047,Sukhoi SuperJet 100-95B
155c1f,RA-89119,Sukhoi SuperJet 100-95B
151e62,RA-73314,Boeing 737-8KN
4ba8f4,TC-JGT,Boeing 737-8F2
151dbe,RA-73150,Boeing 777-3M0ER
4b850c,TC-AHL,Gulfstream IV-SP
151fd2,RA-73682,Airbus A319-114
155be1,RA-89057,Sukhoi SuperJet 100-95B
151e8f,RA-73359,Boeing 737-8Q8
151d70,RA-73072,Boeing 757-2Q8
780c5b,B-2091,Boeing 777-FFT
155c4a,RA-89162,Sukhoi SuperJet 100-95B
151e35,RA-73269,Boeing 737-8Q8
14f117,RA-61719,Antonov An-148-100EA
15206a,RA-73834,Airbus A320-214
15201f,RA-73759,Airbus A320-214
151ff2,RA-73714,Airbus A321-211
4ba8d4,TC-JFT,Boeing 737-8F2
600843,4K-AZ67,Embraer 190-100AR
5100e9,EW-502LL,Pilatus PC-12/47E
510115,EW-527PA,Boeing 737-82R
683285,UP-CS502,Cessna 750 Citation X
600005,EK73740,Boeing 737-3L9
778681,YK-ATA,Ilyushin Il-76T
15204a,RA-73802,Airbus A321-251NX
0200ae,CN-ROY,Boeing 737-8B6
151e15,RA-73237,Boeing 737-8LJ
60183b,EZ-A017,Boeing 737-82K
151fb3,RA-73651,Boeing 737-752
155bc0,RA-89024,Sukhoi SuperJet 100-95B
4ba949,TC-JJI,Boeing 777-3F2ER
780b2a,B-8271,Gulfstream Aerospace GIV-X (G450)
151e03,RA-73219,Airbus A319-111
151d46,RA-73030,Boeing 767-3Q8ER
155bf7,RA-89079,Sukhoi SuperJet 100-95LR
151dac,RA-73132,Boeing 777-3M0ER
151da8,RA-73128,Boeing 737-8LJ
151e54,RA-73300,Boeing 737-8LJ
152c97,RA-76951,Ilyushin Il-76TD-90VD
896477,A6-EUM,Airbus A380-842
140671,RA-01649,Bell 505 JetRanger X
151e2d,RA-73261,Boeing 737-86N
14069e,RA-01694,AgustaWestland AW139
010161,SU-GEC,Boeing 737-866
152070,RA-73840,Airbus A321-251NX
728676,YI-ASV,Boeing 737-800WL
15069e,RA-67230,Canadair CL-600-2B19 Regional Jet CRJ-200LR
151df3,RA-73203,Airbus A319-111
151d85,RA-73093,Boeing 737-8LJ
4bb563,TC-MKC,Boeing 737-8
151e7c,RA-73340,Boeing 777-212ER
51012d,EW-544PA,Boeing 737-8K5
02007a,CN-ROP,Boeing 737-8B6
151fe8,RA-73704,Airbus A321-251NX
155c07,RA-89095,Sukhoi SuperJet 100-95LR
43beb8,RA-73152,Airbus A350-941
152027,RA-73767,Airbus A320-214
151fec,RA-73708,Airbus A321-211
781230,B-8863,Airbus A330-343E
155c11,RA-89105,Sukhoi SuperJet 100-95B
040047,ET-AOQ,Boeing 787-8
896334,A6-FEC,Boeing 737-8KN
151fde,RA-73694,Airbus A320-232
152031,RA-73777,Airbus A320-214
151ef7,RA-73463,Airbus A320-271N
155bef,RA-89071,Sukhoi SuperJet 100-95LR
151db2,RA-73138,Boeing 777-3M0ER
8964d4,A6-FME,Boeing 737-8
140aaa,RA-02730,Raytheon Hawker 850XP
89610d,A6-ECF,Boeing 777-31HER
151e3b,RA-73275,Boeing 777-31HER
155c46,RA-89158,Sukhoi SuperJet 100-95B
1506fe,RA-67326,Cessna 500 Citation I
151ec0,RA-73408,Boeing 737-83N
152066,RA-73830,Airbus A320-214
151d93,RA-73107,Boeing 737-800WL
140ac5,RA-02757,Embraer Legacy 600
1506a6,RA-67238,Bombardier Challenger 605
14fa39,RA-64057,Tupolev Tu-204-300A
151edc,RA-73436,Airbus A321-211
15201e,RA-73758,Airbus A320-214
14fa3b,RA-64059,Tupolev Tu-204-300A
151ed8,RA-73432,Airbus A320-271N
032091,,-
510116,EW-528PA,Boeing 737-8
151dea,RA-73194,Airbus A320-214
424455,VQ-BBL,Boeing 737-93YER
7816a1,B-308L,Airbus A330-243F
151fc6,RA-73670,Boeing 737-8ZS
15204b,RA-73803,Airbus A320-214
151d53,RA-73043,Boeing 737-524
155c6b,RA-89195,Sukhoi SuperJet 95-100LR
152049,RA-73801,Airbus A321-251NX
1501c8,RA-65992,Tupolev Tu-134AK
141e16,RA-07702,AgustaWestland AW139
151e16,RA-73238,Boeing 737-800WL
15205d,RA-73821,Airbus A320-251N
151d45,RA-73029,Boeing 757-2K2
151e00,RA-73216,Airbus A319-112
600801,4K-8888,Airbus A319-115X CJ
4bb84c,TC-NBL,Airbus A320-251N
3cd70e,D-CITA,Learjet 60
8962d1,A6-ANB,Airbus A320-214
151eee,RA-73454,Airbus A320-271N
68333a,UP-EM025,Embraer ERJ 135BJ Legacy 650
1d3343,RF-78659,Ilyushin Il-76MD-90A
8965cc,A6-FKA,Boeing 737-8
155bf4,RA-89076,Sukhoi SuperJet 100-95LR
155c28,RA-89128,Sukhoi SuperJet 100-95B
600010,EK73736,Boeing 737-505
155c2c,RA-89132,Sukhoi SuperJet 100-95B
151e57,RA-73303,Boeing 737-800WL
acb8f4,RA-07845,Beech G36 Bonanza
896376,A6-FEE,Boeing 737-8KN
151d6b,RA-73067,Boeing 737-45S
151d86,RA-73094,Boeing 737-8LJ
151d69,RA-73065,Boeing 737-45S
152073,RA-73843,Airbus A321-231
155bd8,RA-89048,Sukhoi SuperJet 100-95LR
140b2d,RA-02861,Embraer 170-100SU
507c49,UK67006,Boeing 767-33PER
b11ec9,RA-73417,Airbus A319-133CJ
4bb864,TC-NCD,Airbus A320-251N
5140b3,4L-GTD,Boeing 737-8FH
151dc7,RA-73159,Airbus A330-343E
8963bc,A6-FEZ,Boeing 737-8KN
7806e1,B-6527,Airbus A330-343X
152024,RA-73764,Airbus A320-214
70c0a5,A4O-DB,Airbus A330-343X
155bdc,RA-89052,Sukhoi SuperJet 100-95B
151d2c,RA-73004,Boeing 737-76N
155c12,RA-89106,Sukhoi SuperJet 100-95B
151db1,RA-73137,Boeing 777-3M0ER
4bb872,TC-NCR,Airbus A320-251N
151ef4,RA-73460,Airbus A320-271N
151d28,RA-73000,Boeing 737-76N
152032,RA-73778,Airbus A320-214
601115,EX-32010,Airbus A320-232
151d7d,RA-73085,Boeing 737-8AS
140664,RA-01636,Bell 429 GlobalRanger
14f11c,RA-61724,Antonov An-148-100E
151d90,RA-73104,Boeing 737-800WL
4b906c,TC-DCL,Airbus A320-214
152065,RA-73829,Airbus A320-214
151ec3,RA-73411,Boeing 737-8GJ
8965b2,A6-FMV,Boeing 737-8
1506aa,RA-67242,Bombardier Global Express XRS
151fff,RA-73727,Airbus A321-211
152012,RA-73746,Airbus A320-214
053977,VARIOUS,Several Different Aircraft
4bb852,TC-NBR,Airbus A320-251N
151e4f,RA-73295,Boeing 737-8MA
0100dd,SU-GCO,Boeing 737-866
1533ad,RA-78765,Ilyushin Il-76TD
155c32,RA-89138,Sukhoi SuperJet 100-95B
152045,RA-73797,Airbus A321-231
7335a3,EP-MMC,Airbus A340-313
150644,RA-67140,Canadair CL-600-2B19 Regional Jet CRJ-200LR
151e1a,RA-73242,Boeing 737-8LJ
155bb9,RA-89017,Sukhoi SuperJet 100-95B
155c65,RA-89189,Sukhoi SuperJet 100-95B
141d5d,RA-07517,Eurocopter AS350 B3e Ecureuil
896585,A6-AUA,Airbus A320-214
4bd181,TC-TLA,Boeing 737-4Q8
507c3e,UK32015,Airbus A320-214
152053,RA-73811,Airbus A319-112
151dd0,RA-73168,Airbus A320-214
4ba946,TC-JJF,Boeing 777-3F2ER
49c16c,PM-M370,BRM Aero Bristell NG5 SpeedWing
151d4b,RA-73035,Boeing 737-524
89642d,A6-AOJ,Airbus A320-214
4c01ed,YU-APN,Airbus A319-132
152004,RA-73732,Airbus A320-251N
152c98,RA-76952,Ilyushin Il-76TD-90VD
683273,UP-B3726,Boeing 737-9
151da7,RA-73127,Boeing 737-8LJ
155c24,RA-89124,Sukhoi SuperJet 100-95B
155bf8,RA-89080,Sukhoi SuperJet 100-95LR
151e20,RA-73248,Boeing 737-800WL
152a8d,RA-76429,Ilyushin Il-76TD
151d65,RA-73061,Boeing 737-524
151ebb,RA-73403,Airbus A320-214
1405ee,RA-01518,Pilatus PC-12/47E
150691,RA-67217,Bombardier BD-100-1A10 Challenger 300
140ae4,RA-02788,Embraer EMB 550 Legacy 500
142af9,RA-11001,Gulfstream Aerospace GIV-X (G450)
151d8a,RA-73098,Boeing 737-800WL
155c0c,RA-89100,Sukhoi SuperJet 100-95B
152028,RA-73768,Airbus A320-214
70c0ab,A4O-DE,Airbus A330-343X
507c45,UK67004,Boeing 767-33PER
151fe7,RA-73703,Airbus A321-251NX
15202c,RA-73772,Airbus A320-214
155bd4,RA-89044,Sukhoi SuperJet 100-95B
