icao,tail,plane_model,reg_country,type,max_passengers
15201c,RA-73756,Airbus A320-214,Russia,COMMERCIAL, 150
152018,RA-73752,Airbus A320-214,Russia,COMMERCIAL, 150
15204d,RA-73805,Airbus A320-214,Russia,COMMERCIAL, 150
15205b,RA-73819,Airbus A320-214,Russia,COMMERCIAL, 150
152022,RA-73762,Airbus A320-214,Russia,COMMERCIAL, 150
152034,RA-73780,Airbus A320-214,Russia,COMMERCIAL, 150
152063,RA-73827,Airbus A320-214,Russia,COMMERCIAL, 150
152062,RA-73826,Airbus A320-214,Russia,COMMERCIAL, 150
152035,RA-73781,Airbus A320-214,Russia,COMMERCIAL, 150
152023,RA-73763,Airbus A320-214,Russia,COMMERCIAL, 150
151df7,RA-73207,Airbus A320-214,Russia,COMMERCIAL, 150
152019,RA-73753,Airbus A320-214,Russia,COMMERCIAL, 150
15201b,RA-73755,Airbus A320-214,Russia,COMMERCIAL, 150
151ecc,RA-73420,Airbus A320-214,Russia,COMMERCIAL, 150
15202d,RA-73773,Airbus A320-214,Russia,COMMERCIAL, 150
151ebe,RA-73406,Airbus A320-214,Russia,COMMERCIAL, 150
152054,RA-73812,Airbus A320-214,Russia,COMMERCIAL, 150
152015,RA-73749,Airbus A320-214,Russia,COMMERCIAL, 150
896411,A6-AOE,Airbus A320-214,United Arab Emirates,COMMERCIAL, 150
8963ff,A6-AOC,Airbus A320-214,United Arab Emirates,COMMERCIAL, 150
8965fa,A6-AUG,Airbus A320-214,United Arab Emirates,COMMERCIAL, 150
8965ff,A6-ANC,Airbus A320-214,United Arab Emirates,COMMERCIAL, 150
896401,A6-AOB,Airbus A320-214,United Arab Emirates,COMMERCIAL, 150
896601,A6-ANE,Airbus A320-214,United Arab Emirates,COMMERCIAL, 150
896586,A6-AUB,Airbus A320-214,United Arab Emirates,COMMERCIAL, 150
8962d1,A6-ANB,Airbus A320-214,United Arab Emirates,COMMERCIAL, 150
896585,A6-AUA,Airbus A320-214,United Arab Emirates,COMMERCIAL, 150
89642d,A6-AOJ,Airbus A320-214,United Arab Emirates,COMMERCIAL, 150
89642e,A6-AOI,Airbus A320-214,United Arab Emirates,COMMERCIAL, 150
896434,A6-AOK,Airbus A320-214,United Arab Emirates,COMMERCIAL, 150
896413,A6-AOH,Airbus A320-214,United Arab Emirates,COMMERCIAL, 150
8963c9,A6-ANY,Airbus A320-214,United Arab Emirates,COMMERCIAL, 150
8965ee,A6-AUE,Airbus A320-214,United Arab Emirates,COMMERCIAL, 150
4b906c,TC-DCL,Airbus A320-214,Turkey,COMMERCIAL, 150
4b9065,TC-DCE,Airbus A320-214,Turkey,COMMERCIAL, 150
4b906d,TC-DCM,Airbus A320-214,Turkey,COMMERCIAL, 150
507c41,UK32018,Airbus A320-214,Uzbekistan,COMMERCIAL, 150
507c3a,UK32011,Airbus A320-214,Uzbekistan,COMMERCIAL, 150
507c61,UK32031,Airbus A320-214,Uzbekistan,COMMERCIAL, 150
507c3f,UK32016,Airbus A320-214,Uzbekistan,COMMERCIAL, 150
507c3e,UK32015,Airbus A320-214,Uzbekistan,COMMERCIAL, 150
507c3d,UK32014,Airbus A320-214,Uzbekistan,COMMERCIAL, 150
507c3b,UK32012,Airbus A320-214,Uzbekistan,COMMERCIAL, 150
600003,EK-YRC,Airbus A320-214,Armenia,COMMERCIAL, 150
600001,EK-YRB,Airbus A320-214,Armenia,COMMERCIAL, 150
60111c,EX-32014,Airbus A320-214,Kyrgyzstan,COMMERCIAL, 150
600853,4K-AZ83,Airbus A320-214,Azerbaijan,COMMERCIAL, 150
60084d,4K-AZ77,Airbus A320-214,Azerbaijan,COMMERCIAL, 150
60084f,4K-AZ79,Airbus A320-214,Azerbaijan,COMMERCIAL, 150
600850,4K-AZ80,Airbus A320-214,Azerbaijan,COMMERCIAL, 150
02a1a7,TS-INH,Airbus A320-214,Tunisia,COMMERCIAL, 150
142581,RA-09601,Dassault Falcon 7X,Russia,PRIVATE, 12
142587,RA-09607,Dassault Falcon 7X,Russia,PRIVATE, 12
14232d,RA-09005,Dassault Falcon 7X,Russia,PRIVATE, 12
142592,RA-09618,Dassault Falcon 7X,Russia,PRIVATE, 12
142584,RA-09604,Dassault Falcon 7X,Russia,PRIVATE, 12
142382,RA-09090,Dassault Falcon 7X,Russia,PRIVATE, 12
142582,RA-09602,Dassault Falcon 7X,Russia,PRIVATE, 12
43be92,RA-73153,Airbus A350-941,Russia,COMMERCIAL, 440
43bebd,RA-73156,Airbus A350-941,Russia,COMMERCIAL, 440
43beb9,RA-73151,Airbus A350-941,Russia,COMMERCIAL, 440
43beb8,RA-73152,Airbus A350-941,Russia,COMMERCIAL, 440
43be90,RA-73154,Airbus A350-941,Russia,COMMERCIAL, 440
42446c,RA-73155,Airbus A350-941,Russia,COMMERCIAL, 440
151e24,RA-73252,Boeing 737-8AS,Russia,COMMERCIAL, 189
151d7f,RA-73087,Boeing 737-8AS,Russia,COMMERCIAL, 189
151e23,RA-73251,Boeing 737-8AS,Russia,COMMERCIAL, 189
151d7d,RA-73085,Boeing 737-8AS,Russia,COMMERCIAL, 189
151e60,RA-73312,Boeing 737-8AS,Russia,COMMERCIAL, 189
151d7e,RA-73086,Boeing 737-8AS,Russia,COMMERCIAL, 189
151e26,RA-73254,Boeing 737-8AS,Russia,COMMERCIAL, 189
151d7c,RA-73084,Boeing 737-8AS,Russia,COMMERCIAL, 189
